issue_time,turbine_id,valid_time,lead_hours,power_normalized,model_id,snapshot_id,run_init,available_at
2026-01-31T12:00:00+00:00,turbine-1,2026-01-31T13:00:00+00:00,1,0.648338,model-weather-experiment-640618020c918c13b93a05de,ecmwf00-a2d77f25-assumed-7b9a425c47be-1-20260131,2026-01-31T00:00:00+00:00,2026-01-31T10:00:00+00:00
2026-01-31T12:00:00+00:00,turbine-1,2026-01-31T14:00:00+00:00,2,0.406395,model-weather-experiment-640618020c918c13b93a05de,ecmwf00-a2d77f25-assumed-7b9a425c47be-1-20260131,2026-01-31T00:00:00+00:00,2026-01-31T10:00:00+00:00
2026-01-31T12:00:00+00:00,turbine-1,2026-01-31T15:00:00+00:00,3,0.158973,model-weather-experiment-640618020c918c13b93a05de,ecmwf00-a2d77f25-assumed-7b9a425c47be-1-20260131,2026-01-31T00:00:00+00:00,2026-01-31T10:00:00+00:00
2026-01-31T12:00:00+00:00,turbine-1,2026-01-31T16:00:00+00:00,4,0.093709,model-weather-experiment-640618020c918c13b93a05de,ecmwf00-a2d77f25-assumed-7b9a425c47be-1-20260131,2026-01-31T00:00:00+00:00,2026-01-31T10:00:00+00:00
2026-01-31T12:00:00+00:00,turbine-1,2026-01-31T17:00:00+00:00,5,0.0763,model-weather-experiment-640618020c918c13b93a05de,ecmwf00-a2d77f25-assumed-7b9a425c47be-1-20260131,2026-01-31T00:00:00+00:00,2026-01-31T10:00:00+00:00
2026-01-31T12:00:00+00:00,turbine-1,2026-01-31T18:00:00+00:00,6,0.044259,model-weather-experiment-640618020c918c13b93a05de,ecmwf00-a2d77f25-assumed-7b9a425c47be-1-20260131,2026-01-31T00:00:00+00:00,2026-01-31T10:00:00+00:00
2026-01-31T12:00:00+00:00,turbine-1,2026-01-31T19:00:00+00:00,7,0.037945,model-weather-experiment-640618020c918c13b93a05de,ecmwf00-a2d77f25-assumed-7b9a425c47be-1-20260131,2026-01-31T00:00:00+00:00,2026-01-31T10:00:00+00:00
2026-01-31T12:00:00+00:00,turbine-1,2026-01-31T20:00:00+00:00,8,0.036957,model-weather-experiment-640618020c918c13b93a05de,ecmwf00-a2d77f25-assumed-7b9a425c47be-1-20260131,2026-01-31T00:00:00+00:00,2026-01-31T10:00:00+00:00
2026-01-31T12:00:00+00:00,turbine-1,2026-01-31T21:00:00+00:00,9,0.02945,model-weather-experiment-640618020c918c13b93a05de,ecmwf00-a2d77f25-assumed-7b9a425c47be-1-20260131,2026-01-31T00:00:00+00:00,2026-01-31T10:00:00+00:00
2026-01-31T12:00:00+00:00,turbine-1,2026-01-31T22:00:00+00:00,10,0.02467,model-weather-experiment-640618020c918c13b93a05de,ecmwf00-a2d77f25-assumed-7b9a425c47be-1-20260131,2026-01-31T00:00:00+00:00,2026-01-31T10:00:00+00:00
2026-01-31T12:00:00+00:00,turbine-1,2026-01-31T23:00:00+00:00,11,0.024817,model-weather-experiment-640618020c918c13b93a05de,ecmwf00-a2d77f25-assumed-7b9a425c47be-1-20260131,2026-01-31T00:00:00+00:00,2026-01-31T10:00:00+00:00
